date,close
7/1/15,2079.649902
6/1/15,2063.110107
5/1/15,2107.389893
4/1/15,2085.51001
3/2/15,2067.889893
2/2/15,2104.5
1/2/15,1994.98999
12/1/14,2058.899902
11/3/14,2067.560059
10/1/14,2018.050049
9/2/14,1972.290039
8/1/14,2003.369995
7/1/14,1930.670044
6/2/14,1960.22998
5/1/14,1923.569946
4/1/14,1883.949951
3/3/14,1872.339966
2/3/14,1859.449951
1/2/14,1782.589966
12/2/13,1848.359985
11/1/13,1805.810059
10/1/13,1756.540039
9/3/13,1681.550049
8/1/13,1632.969971
7/1/13,1685.72998
6/3/13,1606.280029
5/1/13,1630.73999
4/1/13,1597.569946
3/1/13,1569.189941
2/1/13,1514.680054
1/2/13,1498.109985
12/3/12,1426.189941
11/1/12,1416.180054
10/1/12,1412.160034
9/4/12,1440.670044
8/1/12,1406.579956
7/2/12,1379.319946
6/1/12,1362.160034
5/1/12,1310.329956
4/2/12,1397.910034
3/1/12,1408.469971
2/1/12,1365.680054
1/3/12,1312.410034
12/1/11,1257.599976
11/1/11,1246.959961
10/3/11,1253.300049
9/1/11,1131.420044
8/1/11,1218.890015
7/1/11,1292.280029
6/1/11,1320.640015
5/2/11,1345.199951
4/1/11,1363.609985
3/1/11,1325.829956
2/1/11,1327.219971
1/3/11,1286.119995
12/1/10,1257.640015
11/1/10,1180.550049
10/1/10,1183.26001
9/1/10,1141.199951
8/2/10,1049.329956
7/1/10,1101.599976
6/1/10,1030.709961
5/3/10,1089.410034
4/1/10,1186.689941
3/1/10,1169.430054
2/1/10,1104.48999
1/4/10,1073.869995
12/1/09,1115.099976
11/2/09,1095.630005
10/1/09,1036.189941
9/1/09,1057.079956
8/3/09,1020.619995
7/1/09,987.47998
6/1/09,919.320007
5/1/09,919.140015
4/1/09,872.809998
3/2/09,797.869995
2/2/09,735.090027
1/2/09,825.880005
12/1/08,903.25
11/3/08,896.23999
10/1/08,968.75
9/2/08,1166.359985
8/1/08,1282.829956
7/1/08,1267.380005
6/2/08,1280
5/1/08,1400.380005
4/1/08,1385.589966
3/3/08,1322.699951
2/1/08,1330.630005
1/2/08,1378.550049
12/3/07,1468.359985
11/1/07,1481.140015
10/1/07,1549.380005
9/4/07,1526.75
8/1/07,1473.98999
7/2/07,1455.27002
6/1/07,1503.349976
5/1/07,1530.619995
4/2/07,1482.369995
3/1/07,1420.859985
2/1/07,1406.819946
1/3/07,1438.23999
12/1/06,1418.300049
11/1/06,1400.630005
10/2/06,1377.939941
9/1/06,1335.849976
8/1/06,1303.819946
7/3/06,1276.660034
6/1/06,1270.199951
5/1/06,1270.089966
4/3/06,1310.609985
3/1/06,1294.869995
2/1/06,1280.660034
1/3/06,1280.079956
12/1/05,1248.290039
11/1/05,1249.47998
10/3/05,1207.01001
9/1/05,1228.810059
8/1/05,1220.329956
7/1/05,1234.180054
6/1/05,1191.329956
5/2/05,1191.5
4/1/05,1156.849976
3/1/05,1180.589966
2/1/05,1203.599976
1/3/05,1181.27002
12/1/04,1211.920044
11/1/04,1173.819946
10/1/04,1130.199951
9/1/04,1114.579956
8/2/04,1104.23999
7/1/04,1101.719971
6/1/04,1140.839966
5/3/04,1120.680054
4/1/04,1107.300049
3/1/04,1126.209961
2/2/04,1144.939941
1/2/04,1131.130005
12/1/03,1111.920044
11/3/03,1058.199951
10/1/03,1050.709961
9/2/03,995.969971
8/1/03,1008.01001
7/1/03,990.309998
6/2/03,974.5
5/1/03,963.590027
4/1/03,916.919983
3/3/03,848.179993
2/3/03,841.150024
1/2/03,855.700012
12/2/02,879.820007
11/1/02,936.309998
10/1/02,885.76001
9/3/02,815.280029
8/1/02,916.070007
7/1/02,911.619995
6/3/02,989.820007
5/1/02,1067.140015
4/1/02,1076.920044
3/1/02,1147.390015
2/1/02,1106.72998
1/2/02,1130.199951
12/3/01,1148.079956
11/1/01,1139.449951
10/1/01,1059.780029
9/4/01,1040.939941
8/1/01,1133.579956
7/2/01,1211.22998
6/1/01,1224.380005
5/1/01,1255.819946
4/2/01,1249.459961
